max_depth,estimators,learning_rate,accuracy,recall,cut_off,Performance
6,200,0.01,0.9959892016968762,0.6462585034013606,0.2,0.7838847804680427
6,200,0.01,0.996683378326263,0.6190476190476191,0.25,0.7637341529004995
6,200,0.01,0.9967990744311608,0.6122448979591837,0.3,0.7585686383751148
6,200,0.01,0.9966448129579637,0.5850340136054422,0.35000000000000003,0.7372813054982988
6,200,0.01,0.9967605090628615,0.5510204081632653,0.4,0.7097068796133764
6,200,0.01,0.9965676822213652,0.5170068027210885,0.45,0.6808152174949261
6,200,0.01,0.996529116853066,0.5034013605442177,0.5,0.6689031535864832
6,200,0.01,0.9964905514847667,0.4897959183673469,0.55,0.6567737979306632
7,200,0.01,0.9949865021210953,0.7074829931972789,0.05,0.8269587568497162
7,200,0.01,0.9953335904357886,0.6598639455782312,0.1,0.7936028611221224
7,200,0.01,0.996104897801774,0.6394557823129252,0.15000000000000002,0.7788950228919669
7,200,0.01,0.9964905514847667,0.6190476190476191,0.2,0.7636775342755389
7,200,0.01,0.9965676822213652,0.6054421768707483,0.25,0.7532589184751661
7,200,0.01,0.9966062475896644,0.5918367346938775,0.3,0.7426494925251259
7,200,0.01,0.9967219436945622,0.5850340136054422,0.35000000000000003,0.7373024093597901
7,200,0.01,0.9967219436945622,0.5714285714285714,0.4,0.7264039910762906
7,200,0.01,0.9967219436945622,0.5510204081632653,0.45,0.7096971037596966
7,200,0.01,0.9966062475896644,0.5034013605442177,0.5,0.668920528460048
7,200,0.01,0.9965676822213652,0.48299319727891155,0.55,0.6506463070360484
8,200,0.01,0.9955649826455842,0.7006802721088435,0.05,0.8224904281817838
8,200,0.01,0.996104897801774,0.6598639455782312,0.1,0.7938479165244128
8,200,0.01,0.9963748553798689,0.6190476190476191,0.15000000000000002,0.7636435566125465
8,200,0.01,0.9965676822213652,0.5986394557823129,0.2,0.7479714962682965
8,200,0.01,0.9966448129579637,0.564625850340136,0.25,0.7208633816442005
8,200,0.01,0.9967605090628615,0.564625850340136,0.3,0.7208936425322336
8,200,0.01,0.9967990744311608,0.564625850340136,0.35000000000000003,0.7209037284983666
8,200,0.01,0.9967605090628615,0.5578231292517006,0.4,0.7153247372174599
8,200,0.01,0.996683378326263,0.5238095238095238,0.45,0.6867144793068214
8,200,0.01,0.996529116853066,0.4965986394557823,0.5,0.6628702755224138
8,200,0.01,0.9964905514847667,0.47619047619047616,0.55,0.6444291755152328
9,200,0.01,0.9950250674893946,0.6666666666666666,0.05,0.7984032553785692
9,200,0.01,0.9961820285383726,0.6190476190476191,0.1,0.7635869163575091
9,200,0.01,0.9963748553798689,0.5986394557823129,0.15000000000000002,0.7479171779282378
9,200,0.01,0.9965676822213652,0.5850340136054422,0.2,0.7372601995784431
9,200,0.01,0.996529116853066,0.564625850340136,0.25,0.7208331162709409
9,200,0.01,0.9964134207481682,0.5374149659863946,0.3,0.698236503185063
9,200,0.01,0.9962977246432704,0.5170068027210885,0.35000000000000003,0.6807522106250774
9,200,0.01,0.9963362900115696,0.5102040816326531,0.4,0.674837331160062
9,200,0.01,0.996529116853066,0.5102040816326531,0.45,0.6748815561974707
9,200,0.01,0.9965676822213652,0.5102040816326531,0.5,0.6748903998466407
9,200,0.01,0.9964905514847667,0.4965986394557823,0.55,0.6628617434249194
10,200,0.01,0.9949093713844968,0.673469387755102,0.05,0.8032240899107083
10,200,0.01,0.9961434631700733,0.6122448979591837,0.1,0.7583787195936524
10,200,0.01,0.9963748553798689,0.5986394557823129,0.15000000000000002,0.7479171779282378
10,200,0.01,0.9966062475896644,0.5986394557823129,0.2,0.7479823583605207
10,200,0.01,0.996683378326263,0.5782312925170068,0.25,0.7318663401252482
10,200,0.01,0.9966062475896644,0.564625850340136,0.3,0.7208532936848551
10,200,0.01,0.9965676822213652,0.5374149659863946,0.35000000000000003,0.6982743744459857
10,200,0.01,0.9966062475896644,0.5306122448979592,0.4,0.6925158134400583
10,200,0.01,0.996529116853066,0.5170068027210885,0.45,0.680806217889606
10,200,0.01,0.996529116853066,0.5102040816326531,0.5,0.6748815561974707
10,200,0.01,0.9964905514847667,0.5034013605442177,0.55,0.668894465479584
3,400,0.01,0.9901658310836868,0.7755102040816326,0.05,0.8697900299320456
3,400,0.01,0.9944080215966062,0.7482993197278912,0.1,0.8539756830623717
3,400,0.01,0.9948322406478982,0.7278911564625851,0.15000000000000002,0.8406800434080629
3,400,0.01,0.9964519861164675,0.6598639455782312,0.2,0.7939581169944036
3,400,0.01,0.996683378326263,0.6326530612244898,0.25,0.7740019495832743
3,400,0.01,0.9964134207481682,0.5510204081632653,0.3,0.7096188793885225
3,400,0.01,0.9963362900115696,0.5102040816326531,0.35000000000000003,0.674837331160062
3,400,0.01,0.9962977246432704,0.4965986394557823,0.4,0.6628190763252643
3,400,0.01,0.9963748553798689,0.47619047619047616,0.45,0.6444049804453668
3,400,0.01,0.996104897801774,0.3877551020408163,0.5,0.5582136290295521
3,400,0.01,0.9960663324334748,0.3673469387755102,0.55,0.5367439583631587
4,400,0.01,0.9929039722329348,0.7687074829931972,0.05,0.8665392258716331
4,400,0.01,0.9943308908600077,0.7551020408163265,0.1,0.8583596105232328
4,400,0.01,0.9947165445430004,0.7414965986394558,0.15000000000000002,0.8496409986127105
4,400,0.01,0.9957578094870806,0.7074829931972789,0.2,0.8272250341175491
4,400,0.01,0.996683378326263,0.6802721088435374,0.25,0.8086271923264896
4,400,0.01,0.9968762051677593,0.6190476190476191,0.3,0.7637907580129535
4,400,0.01,0.9967219436945622,0.5714285714285714,0.35000000000000003,0.7264039910762906
