number_of_neurons,activation,activation2,cut_off,accuracy,recall,Performance
6,tanh,softmax,0.25,0.9913165387093407,0.4296577946768061,0.5994856737961294
6,tanh,softmax,0.3,0.991370529142236,0.42870722433460073,0.5985696301419101
6,tanh,softmax,0.35000000000000003,0.9914857087324126,0.4268060836501901,0.5967349379189778
6,tanh,softmax,0.4,0.9962134709729435,0.0,0.0
6,tanh,softmax,0.45,0.9962134709729435,0.0,0.0
6,tanh,softmax,0.5,0.9962134709729435,0.0,0.0
6,tanh,softmax,0.55,0.9962134709729435,0.0,0.0
7,relu,softmax,0.05,0.9631227346514197,0.7257604562737643,0.8277616819258342
7,relu,softmax,0.1,0.9756683115751889,0.6796577946768061,0.8011962965807138
7,relu,softmax,0.15000000000000002,0.9799875462068122,0.6449619771863118,0.7779376483026847
7,relu,softmax,0.2,0.9824225147303898,0.6135931558935361,0.7553907424964442
7,relu,softmax,0.25,0.9957401548445616,0.07461977186311787,0.13883536058378437
7,relu,softmax,0.3,0.996006507646845,0.07224334600760456,0.13471538051065785
7,relu,softmax,0.35000000000000003,0.9961468827723727,0.06939163498098859,0.1297452128197776
7,relu,softmax,0.4,0.9962296681028122,0.06653992395437262,0.12474772867435253
7,relu,softmax,0.45,0.996281858854611,0.06368821292775666,0.11972302398330634
7,relu,softmax,0.5,0.9963088540710586,0.06178707224334601,0.11635808363349094
7,relu,softmax,0.55,0.9963268508820237,0.060361216730038025,0.11382640312377394
7,tanh,softmax,0.05,0.9793720552718058,0.6216730038022814,0.7605646874085428
7,tanh,softmax,0.1,0.9803024903987013,0.6140684410646388,0.7551226758736912
7,tanh,softmax,0.15000000000000002,0.9806714250234858,0.6131178707224335,0.7545127547206061
7,tanh,softmax,0.2,0.9809917682586645,0.6121673003802282,0.7538871595329069
7,tanh,softmax,0.25,0.9813013134072642,0.6078897338403042,0.7507253394831828
7,tanh,softmax,0.3,0.9818340190118311,0.6055133079847909,0.7490655064997266
7,tanh,softmax,0.35000000000000003,0.9962134709729435,0.0,0.0
7,tanh,softmax,0.4,0.9962134709729435,0.0,0.0
7,tanh,softmax,0.45,0.9962134709729435,0.0,0.0
7,tanh,softmax,0.5,0.9962134709729435,0.0,0.0
7,tanh,softmax,0.55,0.9962134709729435,0.0,0.0
8,relu,softmax,0.05,0.9665097344750511,0.7252851711026616,0.8286999515485007
8,relu,softmax,0.1,0.9777955346312633,0.686787072243346,0.8068537178132471
8,relu,softmax,0.15000000000000002,0.9838730576941765,0.6307034220532319,0.768662385631646
8,relu,softmax,0.2,0.9876361908669784,0.5370722433460076,0.6957815313882338
8,relu,softmax,0.25,0.9890309437167734,0.528041825095057,0.6884965775303146
8,relu,softmax,0.3,0.9901503453588024,0.5171102661596958,0.679400635449195
8,relu,softmax,0.35000000000000003,0.99109517793447,0.5009505703422054,0.6655153774247629
8,relu,softmax,0.4,0.9919104334711889,0.4900190114068441,0.6559758586262382
8,relu,softmax,0.45,0.9926105094177312,0.4738593155893536,0.6414830071763847
8,relu,softmax,0.5,0.9932439971637026,0.4610266159695818,0.6297478814591365
8,relu,softmax,0.55,0.9937407091463393,0.44914448669201523,0.6186676001692019
8,tanh,softmax,0.05,0.9647874396656912,0.6806083650190115,0.7981573795583764
8,tanh,softmax,0.1,0.9922937655447455,0.40779467680608367,0.5780379341430417
8,tanh,softmax,0.15000000000000002,0.9924575365245278,0.4049429657794677,0.5751947241865216
8,tanh,softmax,0.2,0.9925043282330371,0.4035171102661597,0.573762647779684
8,tanh,softmax,0.25,0.9925403218549673,0.40256653992395436,0.5728070501992554
8,tanh,softmax,0.3,0.992570916433608,0.40209125475285173,0.5723308389162854
8,tanh,softmax,0.35000000000000003,0.9926465030396614,0.40019011406844107,0.570414810181932
8,tanh,softmax,0.4,0.9962134709729435,0.0,0.0
8,tanh,softmax,0.45,0.9962134709729435,0.0,0.0
8,tanh,softmax,0.5,0.9962134709729435,0.0,0.0
8,tanh,softmax,0.55,0.9962134709729435,0.0,0.0
9,relu,softmax,0.05,0.9587837035277349,0.7385931558935361,0.83440642833942
9,relu,softmax,0.1,0.9824027182383281,0.6349809885931559,0.7713779316420083
9,relu,softmax,0.15000000000000002,0.9877387726894794,0.5004752851711026,0.6643383609034992
9,relu,softmax,0.2,0.991003394198548,0.4538973384030418,0.6226224304907054
9,relu,softmax,0.25,0.9932853898289223,0.4291825095057034,0.5993818439931536
9,relu,softmax,0.3,0.9947611283280603,0.4120722433460076,0.5827462697387839
