max_depth,n_estimators,cut_off,accuracy,recall,Performance
3,1000,0.1,0.9932889891911153,0.4843155893536122,0.6511421921449964
3,1000,0.15000000000000002,0.993976467369982,0.4824144486692015,0.6495686261506696
3,1000,0.2,0.9951246639095552,0.4738593155893536,0.6420071270309149
3,1000,0.25,0.9956015794001303,0.46482889733840305,0.6337643478578121
3,1000,0.3,0.9959255219975021,0.4591254752851711,0.6285068763770679
3,1000,0.35000000000000003,0.9966094008141757,0.3369771863117871,0.5036562829594746
3,1000,0.4,0.9967191813610629,0.33365019011406843,0.4999446792475615
3,1000,0.45,0.9967875692427302,0.33127376425855515,0.4972806027845322
3,1000,0.5,0.9967965676482128,0.3279467680608365,0.4935238456578459
3,1000,0.55,0.9967893689238267,0.3217680608365019,0.4864937621402801
4,200,0.05,0.9811789350927016,0.7248098859315589,0.8337313624318011
4,200,0.1,0.9922127798954026,0.6440114068441065,0.7810620982720748
4,200,0.15000000000000002,0.993404168781292,0.6345057034220533,0.7743925160203701
4,200,0.2,0.9953244285112678,0.48811787072243346,0.6550111736383817
4,200,0.25,0.995639372703157,0.4700570342205323,0.638614229352346
4,200,0.3,0.9963574454606644,0.4443916349809886,0.6146426469736375
4,200,0.35000000000000003,0.9966525931604919,0.41682509505703425,0.5878123373943621
4,200,0.4,0.9966939858257117,0.4134980988593156,0.5845034485149543
4,200,0.45,0.9968091654158883,0.35551330798479086,0.5241041701176583
4,200,0.5,0.9967875692427302,0.33460076045627374,0.5010196818495182
4,200,0.55,0.9967929682860197,0.33269961977186313,0.49888603294054185
4,400,0.05,0.979969549395847,0.7281368821292775,0.8354888888763362
4,400,0.1,0.9922091805332095,0.6449619771863118,0.7817596734974273
4,400,0.15000000000000002,0.9931594121521666,0.6373574144486692,0.7764378812137561
4,400,0.2,0.9953586224521015,0.5275665399239544,0.6896174774750508
4,400,0.25,0.9955457892861385,0.47433460076045625,0.6425309402009568
4,400,0.3,0.9957563519744301,0.46625475285171103,0.6351198431499875
4,400,0.35000000000000003,0.9964996202672887,0.44011406844106465,0.6105656733232578
4,400,0.4,0.9967101829555802,0.4139733840304182,0.5849809227129023
4,400,0.45,0.9968145644591778,0.3578897338403042,0.5266827596402412
4,400,0.5,0.9967875692427302,0.33365019011406843,0.4999532817558672
4,400,0.55,0.9967839698805372,0.3274714828897338,0.4929839239923774
4,600,0.05,0.9805112534058965,0.7267110266159695,0.8347458300063701
4,600,0.1,0.9921893840411479,0.6449619771863118,0.7817535287570015
4,600,0.15000000000000002,0.9934491608087047,0.6349809885931559,0.7747600724281107
4,600,0.2,0.9954270103337689,0.49334600760456276,0.6597243978668786
4,600,0.25,0.9956699672817977,0.47433460076045625,0.6425568010972503
4,600,0.3,0.9958751309267998,0.467680608365019,0.6364656631565057
4,600,0.35000000000000003,0.9965878046410176,0.43298479087452474,0.6036872328613428
4,600,0.4,0.9967083832744837,0.4134980988593156,0.5845059242353389
4,600,0.45,0.9968289619079499,0.34743346007604564,0.5152739966182215
4,600,0.5,0.9967875692427302,0.33365019011406843,0.4999532817558672
4,600,0.55,0.9967893689238267,0.3303231939163498,0.49620907408203635
4,800,0.05,0.9804806588272558,0.7262357414448669,0.8344211119342747
4,800,0.1,0.9921551901003143,0.6454372623574145,0.7820919408500717
4,800,0.15000000000000002,0.9934347633599326,0.6354562737642585,0.7751093701971788
4,800,0.2,0.995364021495391,0.4847908745247148,0.6520174283768109
4,800,0.25,0.9956285746165779,0.47433460076045625,0.6425481812839635
4,800,0.3,0.9957743487853953,0.46625475285171103,0.6351235038606629
4,800,0.35000000000000003,0.9965626091056665,0.4358365019011407,0.606448800673716
