accuracy,recall,learning_rate,estimators,cut_off,max_depth,Performance
0.9967990744311608,0.47619047619047616,0.01,1000,0.3,9,0.6444936771198136
0.9967219436945622,0.46258503401360546,0.01,1000,0.35000000000000003,9,0.6319008423438932
0.9967990744311608,0.46258503401360546,0.01,1000,0.4,9,0.6319163420819455
0.9967605090628615,0.4489795918367347,0.01,1000,0.45,9,0.6190948514737217
0.9967219436945622,0.4421768707482993,0.01,1000,0.5,9,0.6125898300078491
0.996683378326263,0.42857142857142855,0.01,1000,0.55,9,0.599401618876064
0.9966062475896644,0.5306122448979592,0.1,200,0.05,9,0.6925158134400583
0.9966448129579637,0.4897959183673469,0.1,200,0.1,9,0.6568072996944341
0.996529116853066,0.4557823129251701,0.1,200,0.15000000000000002,9,0.6254861546409817
0.9966062475896644,0.4557823129251701,0.1,200,0.2,9,0.62550134716164
0.9965676822213652,0.4421768707482993,0.1,200,0.25,9,0.612560691616839
0.9965676822213652,0.4421768707482993,0.1,200,0.3,9,0.612560691616839
0.9966448129579637,0.4421768707482993,0.1,200,0.35000000000000003,9,0.6125752615933532
0.9966448129579637,0.4421768707482993,0.1,200,0.4,9,0.6125752615933532
0.9965676822213652,0.4217687074829932,0.1,200,0.45,9,0.5926958742663866
0.996529116853066,0.41496598639455784,0.1,200,0.5,9,0.5859399540166649
0.9964905514847667,0.40816326530612246,0.1,200,0.55,9,0.5791189722033427
0.9967605090628615,0.5306122448979592,0.1,400,0.05,9,0.6925530522499348
0.9968762051677593,0.5034013605442177,0.1,400,0.1,9,0.6689813264486923
0.9968762051677593,0.4897959183673469,0.1,400,0.15000000000000002,9,0.6568575393041848
0.99683763979946,0.48299319727891155,0.1,400,0.2,9,0.6507038328316804
0.99683763979946,0.47619047619047616,0.1,400,0.25,9,0.6445017379205792
0.9967605090628615,0.46258503401360546,0.1,400,0.3,9,0.6319085924177211
0.9967219436945622,0.4557823129251701,0.1,400,0.35000000000000003,9,0.6255241329173082
