max_depth,cut_off,accuracy,recall,Performance
9,0.55,0.9954810007666641,0.5822243346007605,0.7347294203630126
10,0.05,0.9873356441238612,0.7618821292775665,0.860079738835463
10,0.1,0.9908954133327574,0.7195817490494296,0.8337208707984194
10,0.15000000000000002,0.9912985418983756,0.7134030418250951,0.8296999332896741
10,0.2,0.9933861719703269,0.6791825095057035,0.806771668822187
10,0.25,0.9937911002170415,0.6701520912547528,0.800497501951047
10,0.3,0.9938792845907705,0.6682509505703422,0.79916815497382
10,0.35000000000000003,0.993969268645596,0.6673003802281369,0.7985170515237681
10,0.4,0.9941744322905981,0.6606463878326996,0.7937992314110135
10,0.45,0.9941744322905981,0.6606463878326996,0.7937992314110135
10,0.5,0.9942536182588445,0.6549429657794676,0.789692896264557
10,0.55,0.9955187940696909,0.5755703422053232,0.7294189486066466
