accuracy,recall,Performance,cut_off,Model,BestModel,IsBestModel
0.9944851523332048,0.027210884353741496,0.052972350875318944,0.5,SupportVectorMachine_rbf,SupportVectorMachine_rbf,1
0.9944851523332048,0.027210884353741496,0.052972350875318944,0.55,SupportVectorMachine_rbf,SupportVectorMachine_rbf,1
0.9842437920000576,0.7918250950570342,0.8776111555572667,0.05,DecisionTrees_9,DecisionTrees_9,1
0.9926806969804952,0.7019961977186312,0.8224081853109927,0.1,DecisionTrees_9,DecisionTrees_9,1
0.9933807729270372,0.6948669201520913,0.8177324228569358,0.15000000000000002,DecisionTrees_9,DecisionTrees_9,1
0.9933915710136164,0.6943916349809885,0.817406873966351,0.2,DecisionTrees_9,DecisionTrees_9,1
0.9937911002170416,0.6758555133079848,0.8045525187393531,0.25,DecisionTrees_9,DecisionTrees_9,1
0.9940556533382284,0.6611216730038023,0.7941043248172834,0.3,DecisionTrees_9,DecisionTrees_9,1
0.9940736501491936,0.6606463878326996,0.7937671039648313,0.35000000000000003,DecisionTrees_9,DecisionTrees_9,1
0.9943166070972224,0.6554182509505704,0.7900581700576366,0.4,DecisionTrees_9,DecisionTrees_9,1
0.9946891410842,0.6449619771863118,0.7825282683258943,0.45,DecisionTrees_9,DecisionTrees_9,1
0.995162457212582,0.6226235741444867,0.7659994510452667,0.5,DecisionTrees_9,DecisionTrees_9,1
0.995481000766664,0.5822243346007605,0.7347294203630126,0.55,DecisionTrees_9,DecisionTrees_9,1
0.9781482721261792,0.8184410646387833,0.8911961090173928,0.05,RandomForest_10_400,RandomForest_10_400,1
0.9892828990702848,0.7542775665399242,0.8559426672583377,0.1,RandomForest_10_400,RandomForest_10_400,1
0.9920220136991724,0.7257604562737643,0.838255555497982,0.15000000000000002,RandomForest_10_400,RandomForest_10_400,1
0.9933447793051072,0.7110266159695817,0.8288036033443634,0.2,RandomForest_10_400,RandomForest_10_400,1
0.9942068265503352,0.6996197718631179,0.8212962930531525,0.25,RandomForest_10_400,RandomForest_10_400,1
0.9948457133395964,0.6867870722433461,0.8125997312326365,0.3,RandomForest_10_400,RandomForest_10_400,1
0.9954144125660932,0.6696768060836502,0.8006839950515847,0.35000000000000003,RandomForest_10_400,RandomForest_10_400,1
0.9958085427262288,0.6525665399239544,0.7884508107327138,0.4,RandomForest_10_400,RandomForest_10_400,1
0.9961504821345658,0.6402091254752852,0.7794675767396579,0.45,RandomForest_10_400,RandomForest_10_400,1
0.9964168349368492,0.6211977186311787,0.7652896832600609,0.5,RandomForest_10_400,RandomForest_10_400,1
0.9966112004952722,0.5893536121673004,0.7406928656282153,0.55,RandomForest_10_400,RandomForest_10_400,1
0.9862707288854607,0.8027210884353742,0.8850798593014523,0.05,GradientBoosting_3_200_0.01,GradientBoosting_3_200_0.01,1
0.9946779791747012,0.7482993197278912,0.8540752144429843,0.1,GradientBoosting_3_200_0.01,GradientBoosting_3_200_0.01,1
0.9951021982259932,0.6394557823129252,0.7785882938678214,0.15000000000000002,GradientBoosting_3_200_0.01,GradientBoosting_3_200_0.01,1
0.9957192441187812,0.4897959183673469,0.656606184743339,0.2,GradientBoosting_3_200_0.01,GradientBoosting_3_200_0.01,1
0.9962205939066718,0.4489795918367347,0.6189906700039429,0.25,GradientBoosting_3_200_0.01,GradientBoosting_3_200_0.01,1
0.9963362900115696,0.42857142857142855,0.5993388365843756,0.3,GradientBoosting_3_200_0.01,GradientBoosting_3_200_0.01,1
0.9959506363285768,0.3469387755102041,0.5146125826747195,0.35000000000000003,GradientBoosting_3_200_0.01,GradientBoosting_3_200_0.01,1
0.9959120709602776,0.3333333333333333,0.4994874373803214,0.4,GradientBoosting_3_200_0.01,GradientBoosting_3_200_0.01,1
0.9959506363285768,0.3129251700680272,0.476222450945119,0.45,GradientBoosting_3_200_0.01,GradientBoosting_3_200_0.01,1
0.9959120709602776,0.2925170068027211,0.4522114923730198,0.5,GradientBoosting_3_200_0.01,GradientBoosting_3_200_0.01,1
0.9959120709602776,0.2925170068027211,0.4522114923730198,0.55,GradientBoosting_3_200_0.01,GradientBoosting_3_200_0.01,1
